Era,Date,Block,Value
978,05.02.23 16:35,14117138,9.887646942
977,04.02.23 16:00,14102393,7.240228267
976,03.02.23 16:35,14088360,11.81987143
975,02.02.23 16:00,14073612,14.77056365
973,31.01.23 15:47,14044736,12.61769945
972,30.01.23 16:35,14030817,13.12307161
971,29.01.23 16:35,14016420,5.136302722
970,28.01.23 15:39,14001464,10.52119489
969,27.01.23 15:43,13987105,2.401797494
968,26.01.23 15:36,13972643,10.486643
967,25.01.23 15:47,13958356,10.82479281
966,24.01.23 15:36,13943868,10.6392828
965,23.01.23 15:36,13929484,10.48715821
964,22.01.23 16:08,13915409,12.81172067
963,21.01.23 16:00,13900934,15.71571043
962,20.01.23 16:11,13886648,11.34879286
961,19.01.23 15:36,13871910,6.699135108
960,18.01.23 15:36,13857521,7.006638025
959,17.01.23 21:13,13846525,2.659302543
958,16.01.23 21:05,13832093,12.10136778
957,15.01.23 21:14,13817797,9.73513592
956,14.01.23 15:50,13800164,4.274649636
955,13.01.23 16:09,13785961,5.776686705
954,12.01.23 15:38,13771261,5.761992211
953,11.01.23 16:44,13757519,3.925679047
952,10.01.23 15:36,13742457,10.05826586
951,09.01.23 15:36,13728057,8.126193719
950,08.01.23 15:36,13713664,8.11292688
949,07.01.23 18:10,13700804,8.547334814
948,06.01.23 15:36,13684869,9.236601091
947,05.01.23 15:38,13670493,10.45322156
946,04.01.23 15:37,13656089,12.93565471
945,03.01.23 21:14,13645091,8.45469591
944,02.01.23 15:37,13627328,6.566241751
943,02.01.23 16:22,13627779,5.914054541
942,31.12.22 17:01,13599381,10.6219746
941,30.12.22 16:44,13584812,7.859609533
940,29.12.22 15:47,13569850,8.932473032
939,28.12.22 16:09,13555714,5.735127249
938,27.12.22 16:45,13541697,8.667252602
937,26.12.22 21:14,13529990,7.377772777
936,25.12.22 16:09,13512545,4.661580379
935,24.12.22 21:14,13501195,8.949632898
934,23.12.22 16:56,13484214,10.65746504
933,22.12.22 16:10,13469364,5.901805415
932,21.12.22 16:10,13454967,4.198947649
931,21.12.22 01:59,13446463,11.01854428
930,19.12.22 16:02,13426132,9.346050593
929,18.12.22 16:00,13411716,1.961095565
928,17.12.22 20:47,13400214,6.482832555
927,16.12.22 16:38,13383339,4.3118992
926,15.12.22 15:50,13368470,4.318533172
925,14.12.22 16:21,13354414,3.640004381
924,14.12.22 15:37,13353980,10.58951705
923,12.12.22 15:38,13325835,4.458378426
922,11.12.22 16:09,13311855,7.000531611
921,10.12.22 16:09,13297461,6.145626396
920,09.12.22 16:00,13282973,3.149796873
919,08.12.22 16:00,13268621,7.900640964
918,07.12.22 15:38,13254015,4.835998614
917,06.12.22 19:45,13242112,9.284077251
916,05.12.22 16:09,13225576,10.36430119
915,04.12.22 18:10,13212388,8.121448007
914,03.12.22 20:43,13199541,5.240907731
913,02.12.22 16:09,13182423,5.306513635
912,01.12.22 18:35,13169561,9.283505451
911,30.11.22 17:47,13154716,8.055100388
910,29.11.22 16:17,13139433,6.478390862
909,28.11.22 16:17,13125035,4.85036588
908,29.11.22 08:37,13134832,6.428463819
907,26.11.22 17:09,13096770,4.591551725
906,25.11.22 16:38,13082092,5.62903604
905,24.11.22 19:38,13069500,7.870044886
904,23.11.22 18:39,13054531,4.847602767
903,24.11.22 09:24,13063363,4.842682095
902,21.11.22 20:06,13026619,6.271397273
901,20.11.22 15:38,13009541,7.058585284
900,19.11.22 19:26,12997429,9.182392555
899,18.11.22 15:45,12980826,6.238274549
898,17.11.22 16:06,12966643,6.121595157
897,16.11.22 23:02,12956409,4.402528125
896,15.11.22 16:00,12937787,8.436428812
895,14.11.22 17:49,12924482,2.946875636
894,14.11.22 22:12,12927111,6.746284068
893,12.11.22 21:41,12898071,5.083891196
892,11.11.22 16:02,12880323,6.503331874
891,10.11.22 16:52,12866469,6.936502572
890,09.11.22 15:38,12851349,4.101284952
889,08.11.22 16:22,12837424,3.083582535
888,09.11.22 13:12,12849888,3.660628927
887,06.11.22 16:15,12808569,4.109263494
886,06.11.22 13:31,12806927,6.021604078
885,04.11.22 16:30,12779961,4.937290605
884,03.11.22 15:37,12765083,6.455463626
883,02.11.22 15:36,12750702,8.137911662
881,31.10.22 16:35,12722492,5.631644933
880,30.10.22 16:35,12708102,5.607733518
879,29.10.22 15:44,12693192,1.583301191
878,28.10.22 15:44,12678833,5.488507909
877,27.10.22 15:40,12664405,8.137963323
876,26.10.22 15:38,12650069,6.779932867
875,25.10.22 15:40,12635696,6.571724008
874,24.10.22 15:44,12621482,5.598988041
873,23.10.22 18:03,12608684,6.268820586
872,22.10.22 15:39,12593054,5.530114842
871,21.10.22 15:39,12578840,8.523900242
870,20.10.22 15:42,12564689,6.954888386
869,19.10.22 16:57,12551226,5.295220518
868,18.10.22 16:42,12536693,7.007223043
867,17.10.22 16:18,12522057,5.372099469
866,16.10.22 17:32,12508399,2.693362819
865,15.10.22 16:03,12493114,3.545763557
864,14.10.22 21:25,12481936,4.84245242
863,13.10.22 15:58,12464266,4.846646816
862,12.10.22 15:46,12449757,6.050683391
861,11.10.22 17:17,12436269,5.062020669
860,11.10.22 05:27,12429176,4.865488463
859,09.10.22 17:30,12407607,3.71179312
858,09.10.22 05:04,12400150,6.252912177
857,07.10.22 17:30,12378816,5.917742163
856,06.10.22 16:14,12363657,2.249438602
855,05.10.22 17:30,12350022,6.834624607
854,04.10.22 15:47,12334613,4.033660479
853,04.10.22 13:15,12333096,3.527068328
852,02.10.22 15:47,12305823,3.27528896
851,01.10.22 16:46,12292057,4.315718472
850,30.09.22 15:38,12276978,4.265235367
849,29.09.22 18:27,12264270,5.570560454
848,28.09.22 18:27,12249881,4.532154678
847,27.09.22 16:12,12234158,4.766521555
846,26.09.22 15:44,12219551,2.570084841
845,25.09.22 15:48,12205196,4.320980721
844,24.09.22 15:38,12190726,5.69021706
843,23.09.22 15:38,12176330,6.803096627
842,22.09.22 15:51,12162064,2.418061907
841,21.09.22 15:45,12147606,4.607075558
840,20.09.22 15:38,12133142,4.724324832
839,19.09.22 15:38,12118780,4.782023807
838,18.09.22 15:44,12104436,3.2462825
837,17.09.22 15:44,12090037,4.37083089
836,16.09.22 15:38,12075623,4.004868166
835,16.09.22 15:38,12075622,3.649209171
834,14.09.22 17:56,12048216,3.886430018
833,14.09.22 01:26,12038318,2.816761811
832,13.09.22 15:38,12032438,4.996488688
831,11.09.22 17:21,12004687,5.124085935
830,10.09.22 18:10,11990776,4.684505338
829,09.09.22 15:51,11974993,4.068757584
828,09.09.22 13:23,11973509,2.179257618
827,07.09.22 15:47,11946155,3.023788968
826,06.09.22 16:10,11931996,4.063322843
825,05.09.22 15:46,11917395,4.592678048
824,04.09.22 17:51,11904380,2.168556619
823,03.09.22 22:12,11892677,2.053089799
822,02.09.22 15:37,11874495,3.485191484
821,01.09.22 15:55,11860402,3.605241618
820,31.08.22 16:10,11846268,3.571756219
819,31.08.22 15:38,11845945,2.859609253
818,30.08.22 09:53,11828304,4.305624071
817,28.08.22 18:10,11804763,2.368839045
816,27.08.22 15:37,11789038,4.605119515
815,26.08.22 15:42,11774843,4.160685107
814,25.08.22 15:38,11760519,4.200447435
813,24.08.22 15:50,11746374,4.222389201
812,23.08.22 15:40,11731987,2.541740344
811,22.08.22 15:37,11717691,0.94975395
810,21.08.22 18:54,11705367,1.631113957
809,20.08.22 19:47,11691595,4.143830568
808,19.08.22 15:43,11674923,3.807167489
794,05.08.22 15:40,11475060,4.40109852
793,04.08.22 15:37,11460752,3.29509316
792,03.08.22 15:37,11446489,3.83256015
791,02.08.22 15:38,11432230,4.48738014
790,01.08.22 15:37,11417944,5.613668313
789,31.07.22 15:36,11403750,3.594039844
788,30.07.22 15:38,11389577,2.845722153
787,29.07.22 15:38,11375288,3.931062213
786,28.07.22 15:38,11361000,3.921758869
785,27.07.22 15:37,11346691,3.967372761
784,26.07.22 21:57,11336167,1.619292973
783,25.07.22 17:29,11319233,2.351059476
782,24.07.22 17:17,11304812,2.923337888
781,23.07.22 16:26,11290049,1.951404884
780,22.07.22 15:46,11275424,3.276233985
779,22.07.22 03:12,11267986,3.125091107
778,21.07.22 00:55,11252436,4.989074261
777,19.07.22 16:23,11233209,2.812176893
776,18.07.22 15:43,11218594,3.041142679
775,17.07.22 15:37,11204336,4.623332452
774,16.07.22 15:46,11190215,5.57738799
773,15.07.22 16:37,11176530,5.453369267
772,14.07.22 18:10,11163262,1.791202508
771,13.07.22 15:43,11147690,3.800498314
770,13.07.22 04:33,11141091,3.8869788
769,11.07.22 16:17,11119710,2.254436813
768,10.07.22 16:36,11105711,2.500814441
767,09.07.22 15:37,11090950,2.813489792
766,08.07.22 16:14,11077191,1.936697359
765,07.07.22 16:18,11063143,3.165223378
764,06.07.22 17:31,11049761,2.506673134
763,05.07.22 15:38,11034556,2.137264808
762,04.07.22 15:54,11020650,1.558667594
761,04.07.22 13:18,11019136,1.388346694
760,02.07.22 15:44,10992456,1.355049792
759,01.07.22 15:44,10978413,1.375365093
758,30.06.22 16:02,10964481,1.240005543
757,29.06.22 15:38,10950180,1.006278131
756,28.06.22 16:13,10936456,1.114697438
755,27.06.22 15:56,10922231,0.781458092
754,26.06.22 16:23,10908502,1.28002132
753,25.06.22 15:40,10894118,1.533490766
752,24.06.22 17:58,10881550,1.182239839
751,23.06.22 19:35,10868550,0.325550676
750,22.06.22 15:45,10852411,1.812452266
749,21.06.22 15:57,10838533,1.225110479
748,20.06.22 23:05,10828792,0.950119181
747,19.06.22 18:35,10812322,0.869578846
746,18.06.22 15:47,10796841,1.531353962
745,17.06.22 16:24,10783281,0.618439397
744,16.06.22 15:37,10768945,1.506244388
743,15.06.22 16:06,10755282,0.630124621
742,15.06.22 00:38,10746322,1.172893585
741,14.06.22 15:36,10741095,1.47260904
740,12.06.22 15:44,10713272,0.881432669
739,11.06.22 15:40,10699236,0.788202918
738,10.06.22 15:38,10685239,0.88580664
737,09.06.22 18:08,10672620,0.921514214
736,08.06.22 15:55,10657260,1.480281879
735,07.06.22 15:58,10643220,1.782981419
734,06.06.22 16:17,10629386,1.488086722
733,05.06.22 17:47,10616188,0.885623202
732,04.06.22 19:43,10603268,1.426654374
731,04.06.22 15:36,10600866,1.109312316
730,02.06.22 16:27,10573179,1.779368197
729,01.06.22 16:08,10558929,1.036091039
728,31.05.22 16:51,10545188,1.852872636
727,30.05.22 16:49,10530985,1.58962929
726,29.05.22 18:10,10517649,1.46815474
725,29.05.22 15:36,10516135,1.515161415
724,27.05.22 16:28,10488386,1.471860184
723,26.05.22 15:59,10473997,1.167187449
722,25.05.22 23:10,10464082,1.429201504
721,24.05.22 15:39,10445446,1.476006522
720,23.05.22 15:46,10431313,1.119726587
719,22.05.22 17:44,10418287,0.329396546
718,21.05.22 17:52,10404124,0.901982827
717,20.05.22 18:10,10390032,0.847159794
716,19.05.22 15:41,10374308,1.460430948
715,18.05.22 17:52,10361368,1.150099973
714,17.05.22 15:57,10346015,1.131736246
713,16.05.22 16:02,10331799,0.201389828
712,15.05.22 16:59,10318075,0.289294714
711,14.05.22 17:04,10303847,0.38285848
710,13.05.22 17:51,10290078,0.304062204
709,12.05.22 16:28,10274961,0.343503731
708,11.05.22 15:53,10260343,0.17233177
707,10.05.22 15:41,10245962,0.174218291
706,09.05.22 16:03,10231938,0.128468038
705,08.05.22 15:43,10217471,0.076317827
704,07.05.22 15:51,10203257,0.09505531
703,06.05.22 15:38,10188876,0.055208447
702,05.05.22 16:09,10174934,0.070913079
701,04.05.22 19:28,10162537,0.17295733
700,04.05.22 19:53,10162789,0.114222332
699,02.05.22 16:00,10131693,0.143109507
698,01.05.22 16:25,10117550,0.075360356
697,30.04.22 17:05,10103548,0.111335644
696,29.04.22 17:44,10089595,0.078713406
695,28.04.22 15:43,10074052,0.139673877
694,27.04.22 22:35,10063858,0.105952746
693,27.04.22 13:54,10058674,0.115237403
692,26.04.22 02:53,10037672,0.141809576
691,24.04.22 16:30,10017070,0.126247729
690,23.04.22 15:38,10002150,0.107961719
689,22.04.22 16:23,9988206,0.125503901
688,21.04.22 16:16,9973734,0.134627944
687,20.04.22 18:10,9960498,0.08690843
686,19.04.22 18:10,9946159,0.086765153
685,18.04.22 15:37,9930246,0.089741368
684,18.04.22 12:25,9928321,0.079999132
683,16.04.22 16:37,9902052,0.082326748
682,15.04.22 18:10,9888585,0.088202532
681,14.04.22 17:05,9873539,0.132862454
680,14.04.22 08:34,9868440,0.131751741
679,12.04.22 16:38,9844480,0.111038866
678,11.04.22 16:42,9830124,0.092066827
677,10.04.22 16:05,9815405,0.109498284
676,09.04.22 18:15,9802304,0.137020262
674,07.04.22 16:02,9772236,0.104316797
672,05.04.22 15:36,9743197,0.118972793
671,04.04.22 15:36,9728805,0.096401218
670,03.04.22 15:36,9714407,0.091222531
669,03.04.22 15:36,9714403,0.09588175
668,01.04.22 18:03,9687134,0.026938349
667,31.03.22 15:42,9671348,0.137555432
664,28.03.22 15:39,9628141,0.07411682
663,27.03.22 16:35,9614312,0.106112943
662,26.03.22 16:19,9599776,0.095153901
660,24.03.22 15:47,9570753,0.081511104
658,23.03.22 13:18,9555439,0.073757742
657,21.03.22 15:37,9528090,0.077457934
656,20.03.22 15:55,9513871,0.077218698
655,19.03.22 20:53,9502455,0.058499087
654,18.03.22 17:59,9486311,0.077789175
650,14.03.22 15:37,9427300,0.074699843
649,13.03.22 18:58,9414915,0.095243568
648,12.03.22 15:36,9398532,0.0645277
647,11.03.22 15:36,9384134,0.112789947
646,10.03.22 15:38,9369756,0.097159149
645,09.03.22 15:36,9355336,0.098238527
644,08.03.22 15:37,9340975,0.096980082
643,07.03.22 17:05,9327517,0.03913729
642,06.03.22 16:17,9312674,0.058404747
641,05.03.22 16:38,9298517,0.097381983
640,04.03.22 17:05,9284386,0.05722236
639,03.03.22 16:59,9269929,0.11359005
637,01.03.22 17:09,9241251,0.075229652
636,28.02.22 20:19,9228758,0.078033842
635,27.02.22 16:41,9212187,0.105972285
634,26.02.22 16:43,9197805,0.093208336
633,25.02.22 15:37,9182779,0.037659138
632,24.02.22 15:43,9168494,0.06631921
631,23.02.22 15:37,9154035,0.048888697
630,23.02.22 11:06,9151332,0.061332931
629,21.02.22 15:36,9125237,0.067754784
628,20.02.22 15:37,9110847,0.068999058
627,19.02.22 16:52,9097195,0.050484647
626,18.02.22 15:40,9082076,0.04045327
625,17.02.22 17:52,9069043,0.050425093
624,16.02.22 15:36,9053293,0.060671422
623,15.02.22 15:56,9039090,0.060217313
622,15.02.22 15:36,9038890,0.050146779
621,13.02.22 16:06,9010389,0.038113219
620,12.02.22 15:46,8995796,0.061013842
619,11.02.22 17:00,8982130,0.046857769
618,10.02.22 15:43,8966969,0.02554756
617,09.02.22 15:36,8952507,0.062155346
616,08.02.22 15:37,8938123,0.049456482
615,07.02.22 16:05,8924009,0.047803949
613,05.02.22 15:40,8894964,0.015053108
612,04.02.22 17:01,8881382,0.036583851
611,03.02.22 17:00,8866991,0.036285452
610,02.02.22 15:51,8851909,0.036598181
609,01.02.22 16:18,8837783,0.060857359
606,29.01.22 16:02,8794446,0.025698464
605,28.01.22 15:51,8779945,0.036746023
604,27.01.22 15:44,8765475,0.048712258
603,26.01.22 16:16,8751405,0.060116913
602,25.01.22 16:21,8737058,0.026580388
601,24.01.22 16:03,8722492,0.04835692
600,23.01.22 21:11,8711174,0.036484577
599,22.01.22 16:21,8693884,0.060594771
598,21.01.22 15:45,8679132,0.037472621
597,20.01.22 17:16,8665654,0.060752103
596,19.01.22 16:01,8650509,0.059669409
595,18.01.22 16:08,8636178,0.058416244
594,17.01.22 15:38,8621484,0.047942201
593,16.01.22 17:00,8607907,0.026337989
592,15.01.22 15:37,8592684,0.048405608
591,14.01.22 17:05,8579162,0.02620575
590,13.01.22 15:37,8563886,0.061671377
589,12.01.22 17:08,8550404,0.060766577
588,11.01.22 19:13,8537260,0.037775921
587,10.01.22 16:06,8520995,0.026043508
586,09.01.22 17:00,8507136,0.049653437
585,08.01.22 16:07,8492213,0.049638665
584,07.01.22 17:00,8478341,0.049266275
583,06.01.22 15:37,8463123,0.049206384
582,05.01.22 18:58,8450738,0.073310056
581,04.01.22 15:45,8434420,0.071161807
580,03.01.22 16:19,8420360,0.049809949
579,02.01.22 16:02,8405805,0.026473143
578,01.01.22 15:37,8391161,0.038259188
577,31.12.21 17:00,8377596,0.049194795
576,30.12.21 16:02,8362624,0.058912343
575,29.12.21 17:13,8348938,0.049838509
574,28.12.21 17:44,8334853,0.049230696
573,27.12.21 17:49,8320513,0.040036134
571,25.12.21 17:48,8291716,0.060428477
570,24.12.21 18:40,8277841,0.061373238